ID,last,first,co,act,cosize,middle,city,state,latitude,longitude
721,Elsas,Oscar,Fulton Bag and Cotton Mills,2,1000,,Atlanta,GA,33.748547,-84.391502
722,McCarroll,William,American Leather Co.,7,,,Morningside,NY,42.921241,-75.59655
724,Durand,Elliot,Heath & Milligan Manufacturing Co.,4,,,Chicago,IL,41.883229,-87.632398
729,Durban,Thomas,Erie City Iron Works,4,490,E,Erie,PA,42.127951,-80.08258
730,Murray,C,Empire Rubber Manufacturing Co.,2,,Edward,Trenton,NJ,40.220572,-74.759709
731,Harris,E,E.H. Harris & Co.,3,,H,New York,NY,40.713054,-74.007228
734,Keller,Emil,Westinghouse Machine Co.,4,2500,E,East Pittsburgh,PA,40.400715,-79.834023
735,Clarke,Albert,,5,,,Boston,MA,42.358894,-71.056742
736,Marsh,Joseph,Standard Underground Cable Co.,2,,W,Pittsburgh,PA,40.442169,-79.994945
737,Knight,Norman,Farrell Foundry & Machine Co.,2,,P,Ansonia,CT,41.34198,-73.078296
738,Dudley,R,Gray & Dudley Hardware Company,2,,M,Nashville,TN,36.166687,-86.779932
740,Winston,John,John C. Winston Co.,4,,C,Philadelphia,PA,39.951061,-75.16562
741,Howe,George,Carter Howe and Company,2,250,R,Newark,NJ,40.731507,-74.174388
742,Wood,Walter,R.D. Wood & Co.,3,900,,Philadelphia,PA,39.951061,-75.16562
743,Barton,P,Niagara Falls Power Company,2,,P,Niagara Falls,NY,43.094464,-79.056432
744,Jenkinson,Richard,RC Jenkinson Co.,3,,C,Newark,NJ,40.731507,-74.174388
745,Kurtz,Julius,"Emerson, Smith & Co. Ltd.",2,,F,Beaver Falls,PA,40.755968,-80.319427
746,,,Morrison Manufacturing Co.,2,,,Ft. Madison,IA,40.630024,-91.313494
747,Briggs,Frank,Roebling Co.,2,,O,Trenton,NJ,40.220572,-74.759709
748,Tatum,A,"Whitall, Tatum & Co?",2,2000,J,Millville,NJ,39.395373,-75.038458
749,Plummer,William,Leviathan Belting,3,,T,Philadelphia,PA,39.951061,-75.16562
750,Bond,W,Weaver Organ & Piano Co,2,,S,York,PA,39.960339,-76.734668
