ID,last,first,co,act,cosize,middle,city,state,latitude,longitude
302,Kimbrough,C,Indiana Bridge Co.,2,150,M,Muncie,IN,40.193655,-85.386524
303,Eastman,T,T. L. Eastman Co. (?),2,,L,Fryeburg,ME,44.014543,-70.983398
304,Eastman,W,,2,,H,East Sumner,ME,44.356701,-70.3769
306,Roberts,George,Standard Forgings Company,2,,O,Indiana Harbor,IN,41.64773,-87.45412
307,Adams,H,HS Adams Lumber Co?,2,,S,Fortville,IN,39.931358,-85.847962
308,Huesmann,L,Central Supply Company,2,,C,Indianapolis,IN,39.76845,-86.156212
309,Kurtz,S,Hercules Electric Company,2,,H,Indianapolis,IN,39.76845,-86.156212
310,Ferris,W,Sidway Mercantile Company,2,,S,Elkhart,IN,41.687381,-85.973536
311,Dorsey,Dan,Tucker & Dorsey Manufacturing Co.,2,,L,Indianapolis,IN,39.76845,-86.156212
312,Ford,C,Kokomo Foundry & Machine Works,2,,A,Kokomo,IN,40.486508,-86.131244
313,Adams,John,The Imperial Mills,2,,A,Brownsburg,IN,39.84334,-86.397957
315,Ritchie,Morris,Campbell-Smith-Ritchie Co.,2,,,Lebanon,IN,40.048453,-86.469168
316,Thieme,T,Wayne Knitting Mills,2,1500,F,Fort Wayne,IN,41.077474,-85.137495
317,,,E. P. Reed & Co.,2,450,,Rochester,NY,43.155708,-77.612547
318,Winder,S,Marion Iron and Brass Bed Co.,2,,W,Marion,IN,40.551869,-85.668138
319,Reilly,C,Sandusky Portland Cement Co.,2,,J,Cleveland,OH,41.505546,-81.6915
320,Johnston,J,Hartford City Glass Co.,2,,R,Hartford City,IN,40.4513,-85.370171
322,Linton,J,,2,,S,Grand Rapids,MI,42.965446,-85.670209
324,Eldridge,E,E.H. Eldridge Lumber Company,2,,H,Indianapolis,IN,39.76845,-86.156212
325,Newkom,W,Indianapolis Chair and Furniture Co.,2,,J,Indianapolis,IN,39.76845,-86.156212
326,Seiberling,R,Indiana Rubber & Insulated Wire Co.,2,,W,Jonesboro,IN,40.480164,-85.627887
328,Rubin,Fred,The Bates Forge Co.,2,,W,Indianapolis,IN,39.76845,-86.156212
329,Bates,F,The Bates Forge Co.,2,,P,Indianapolis,IN,39.76845,-86.156212
330,Van Camp,Frank,The Van Camp Packing Co.,3,,,Indianapolis,IN,39.76845,-86.156212
331,Martindale,R,Union Trust Co of Indianapolis,3,,W,Indianapolis,IN,39.76845,-86.156212
332,Rupe,E,Chandelier & Art Brass Works,2,,H,Richmond,IN,39.827286,-84.890357
333,Hoyt,C,C. I. Hoyt & Co.,2,,I,Pekin,IN,38.494701,-86.007797
334,Crawford,B,Crawford & McCrimmon Co.,2,,F,Brazil,IN,39.523628,-87.125187
335,Dalrymple,J,City Flour Mill and Elevator,2,,W,Rising Sun,IN,38.949838,-84.855266
336,Golightly,W,Pittsburgh Plate Glass Co.,2,8000,J,Kokomo,IN,40.486508,-86.131244
337,Hoover,Wilbur,Portland Tile & Hollow Building Block Works,2,,C,Portland,IN,40.43234,-84.977824
338,Banta,H,Banta Furniture Co.,2,,F,Goshen,IN,41.581218,-85.834392
339,Hopkins,E,"North, Frazier, & Co.",2,,B,Lynn,IN,40.048577,-84.939985
341,Buck,C,Clyde D. Buck & Co.,2,,D,Kokomo,IN,40.486508,-86.131244
342,Miller,O,Standard Chain Co.,2,,E,Marion,IN,40.551869,-85.668138
343,Post,C,Postum Cereal Company,8,2500,W,Battle Creek,MI,42.31918,-85.182454
344,Ketcham,John,Brown-Ketcham Iron Works,5,,L,Indianapolis,IN,39.76845,-86.156212
345,Metcalf,Edwin,International Harvester,5,,D,Auburn,NY,42.931778,-76.56614
346,Bartlett,C,C.O. Bartlett & Snow company,2,,O,Cleveland,OH,41.505546,-81.6915
347,Chamberlain,Hiram,Roane Iron Co.,6,1100,S,Chattanooga,TN,35.045756,-85.308287
348,Hudson,Herbert,Hoyt Metal Co.,3,,Newton,St. Louis,MO,38.630276,-90.200309
349,Post,George?,Standard Coupler Co.,2,,A?,New York,NY,40.713054,-74.007228
350,Amory,John,Gas Engine and Power Company,2,300,J,Morris Heights,NY,40.849701,-73.920303
352,Wood,William,American Woolen Co.,3,20000,M,Boston,MA,42.358894,-71.056742
357,Briscoe,Benjamin,Maxwell Briscoe Motor Company,2,,,Tarrytown,NY,41.076273,-73.858329
360,Smith,S,Harlan & Hollingsworth Corporation,3,2000,K,Wilmington,DE,39.744432,-75.5451
361,Holman,John,Holman Paper Box Co.,2,,B,St. Louis,MO,38.630276,-90.200309
362,,,Otis Elevator Company,2,8000,,New York,NY,40.713054,-74.007228
366,Coppins,George,Walworth Manufacturing Company,6,1100,T,Boston,MA,42.358894,-71.056742
367,Towne,Henry,Yale and Towne Manufacturing Company,6,3500,R,Stamford,CT,41.051924,-73.539475
370,Anderson,John,Charles Pfizer and Company,2,,,New York,NY,40.713054,-74.007228
372,Selby,George,Selby Shoe Company,6,1500,D,Portsmouth,OH,38.739972,-82.985267
374,Selby,Pearl,"Excelsior Shoe Company, Selby Shoe Company",6,900,E,Portsmouth,OH,38.739972,-82.985267
377,Copeland,Charles,Charles C. Copeland Company,3,,C,New York,NY,40.713054,-74.007228
378,Mundheim,Samuel,Samuel Mundheim Co.,4,,,Brooklyn,NY,40.692529,-73.990996
380,McIntosh,John,"McIntosh, Seymour & Company",3,600,E,Auburn,NY,42.931778,-76.56614
382,Brennan,M,Bucks' Stove and Range,9,,A,St. Louis,MO,38.630276,-90.200309
383,Cobb,John,,6,,C,Boston,MA,42.358894,-71.056742
384,Mead,S,,4,,C,New York,NY,40.713054,-74.007228
385,Joy,Henry,Packard Motor Car Co.,5,1600,B,Detroit,MI,42.332916,-83.047853
386,Bloomingdale,E,"Hays, Herschfield, and Wolf",2,,W,New York,NY,40.713054,-74.007228
393,Hawk,H,Postum Cereal Co.,8,,C,Battle Creek,MI,42.31918,-85.182454
394,Cox,Alfred,Atlantic Works,6,350,E,East Boston,MA,42.375,-71.039703
396,Penton,John,Penton Publishing Co.,3,,A,Cleveland,OH,41.505546,-81.6915
398,Noyes,Laverne,Aermotor Co.,4,,W,Chicago,IL,41.883229,-87.632398
399,Gary,E,US Steel,2,,H,New York,NY,40.713054,-74.007228
400,Foote,Allen,,2,,B,Columbus,OH,39.962649,-82.996216
401,Seaman,Howard,E.W. Bliss Company,3,1500,C,Brooklyn,NY,40.692529,-73.990996
402,Glenn,J,Interstate Iron and Steel Co.,2,900,M,Chicago,IL,41.883229,-87.632398
403,Copeland,Frederick,Sullivan Machinery Company,3,850,K,Claremont,NH,43.372405,-72.337632
404,Byles,L,Morris & Company,2,,M,Chicago,IL,41.883229,-87.632398
408,Eells,Howard,,3,,P,Cleveland,OH,41.505546,-81.6915
410,Jones,Charles,Dufur & Co.,2,,D,Baltimore,MD,39.290443,-76.612333
412,Morgan,Henry,,2,,,Philadelphia,PA,39.951061,-75.16562
413,Langworthy,Edward,Adams & Westlake Co.,2,700,L,Philadelphia,PA,39.951061,-75.16562
414,Ewell,James,,3,,L,Cleveland,OH,41.505546,-81.6915
415,Marvin,Winthrop,,2,,L,Boston,MA,42.358894,-71.056742
416,Goddard,Harry,Spencer Wire Co.,2,400,W,Worcester,MA,42.262073,-71.802278
417,Wills,Henry,,3,,T,New York,NY,40.713054,-74.007228
421,Major,Thomas,Roebling Co.,2,,H,Roebling,NJ,40.115938,-74.784313
422,Roebling,Charles,Roebling Co.,2,6000,George,Roebling,NJ,40.115938,-74.784313
423,Dolan,Thomas,United Gas Improvement Company,4,,,Philadelphia,PA,39.951061,-75.16562
454,Barker Sr.,William,William Barker Co.,3,,,Troy,NY,42.727684,-73.691059
457,Franklin,H,H.H. Franklin Manufacturing Co.,3,1800,H,Syracuse,NY,43.047945,-76.147448
462,Pratt,F,General Electric Co.,2,,C,Schenectady,NY,42.814219,-73.944103
468,Noble,Frank,Eastman Kodak Co.,2,,S,Rochester,NY,43.155708,-77.612547
471,Bailey,Joseph,"E. Bailey & Sons, Inc.",3,300,,Patchogue,NY,40.765689,-73.015139
473,Mills,William,Tonawanda Iron & Steel Co.,2,250,M,Tonawanda,NY,43.016642,-78.878854
480,Cornell,Lynn,Jamestown Lounge Co.,3,400,F,Jamestown,NY,42.098961,-79.242051
486,Marvin,John,L & I. J. White Co.,2,,G.H.,Buffalo,NY,42.887691,-78.879374
487,Letchworth,Ogden,Pratt & Letchworth Co.,3,1800,P,Buffalo,NY,42.887691,-78.879374
493,Woodruff,T,Maltine Co.,2,,L,Brooklyn,NY,40.692529,-73.990996
501,Jones,Edward,Jones of Binghamton,3,,F,Binghamton,NY,42.098702,-75.912543
505,,,F. C. Huyck and Sons,2,270,,Rensselaer,NY,42.64735,-73.739147
508,Bates,D,Willcox & Gibbs Sewing Machine Co.,4,,H,New York,NY,40.713054,-74.007228
513,Schieren,C,Charles A. Schieren Co.,3,,A,New York,NY,40.713054,-74.007228
519,,,National Enameling & Stamping Co.,2,10000,,New York,NY,40.713054,-74.007228
522,Moore,Charles,"Manning, Maxwell & Moore",2,,A,New York,NY,40.713054,-74.007228
525,Paullin,Enos,Ferracute Machine Company,6,170,,Bridgeton,NJ,39.426945,-75.234102
526,Parry,David,Parry Manufacturing Co.,10,2500,McLean,Indianapolis,IN,39.76845,-86.156212
527,Humphrey,Arthur,Westinghouse Air Brake Co.,3,4000,L(uther),Wilmerding,PA,40.395394,-79.805374
528,Brown,C,M.A. Hanna & Co.,2,,W,Cleveland,OH,41.505546,-81.6915
529,Root,Oliver,,3,,,St. Louis,MO,38.630276,-90.200309
530,McClave,S,McClave Lumber Co.,5,,Wood,New York,NY,40.713054,-74.007228
531,Hickok,W,W.O. Hickok Manufacturing Co.,2,,O,Harrisburg,PA,40.259572,-76.881821
532,Simon,S,Carlyle Johnson Machine Co.,2,,H,Manchester,CT,41.770668,-72.520868
533,Janssen,B,Janssen Pianos,2,,H,New York,NY,40.713054,-74.007228
534,Wernicke,Otto,Macey Company,3,300,H.L.,Grand Rapids,MI,42.965446,-85.670209
535,Brantingham,C,Emerson-Brantingham Co.,3,1000,S,Rockford,IL,42.266802,-89.088377
536,Nissen,Ludwig,Ludwig Nissen & Co.,5,,,New York,NY,40.713054,-74.007228
537,Hastings,Herman,,2,,S,Portland,OR,45.516018,-122.681425
538,Foster,J,F. A. Straus and Co.,2,,W,Trenton,NJ,40.220572,-74.759709
539,Hand,Harry,William Cramp & Sons Ship and Engine Building Co.,2,6000,W,Philadelphia,PA,39.951061,-75.16562
540,Keith,Charles,Central Coal & Coke Co. ,4,10000,S,Kansas City,MO,39.099792,-94.578559
541,Wimpfheimer,Charles,American Velvet Co.,2,,A,New York,NY,40.713054,-74.007228
542,Ball,James,United Gas Improvement Co.,4,,,Philadelphia,PA,39.951061,-75.16562
543,Bodine,S,United Gas Improvement Co.,3,,T,Philadelphia,PA,39.951061,-75.16562
544,McDermott,John,,3,,A,New York,NY,40.713054,-74.007228
545,Maben,John,Sloss Sheffield Steel & Iron Co.,2,,Campbell,Birmingham,AL,33.522859,-86.807705
546,Brown,W,"New York Central Lines, Grand Central Terminal",2,,C,New York,NY,40.713054,-74.007228
548,Moore,Frank,Newton Falls Paper Co.,2,200,L,Watertown,NY,43.972377,-75.911254
549,Hindley,William,"Pettibone, Mulliken & Co.",2,600,,Chicago,IL,41.883229,-87.632398
551,Manley,J,Hisey-Wolf Machine Co,4,,M,Cincinnati,OH,39.104427,-84.513808
553,Tillinghast,A,Grosvenor-Dale Co.,2,,H,Providence,RI,41.824461,-71.412747
554,Ritter,Henry,Lunkenheimer Co.,2,1500,,Cincinnati,OH,39.104427,-84.513808
555,Geier,P,Cincinnati Milling Machine Co.,3,1500,Otto,Cincinnati,OH,39.104427,-84.513808
556,Von Wyck,E,Von Wyck Machine Tool Co.,2,,,Cincinnati,OH,39.104427,-84.513808
557,Krapp,G,Ahrens-Fox Fire Engine Co.,2,,W,Cincinnati,OH,39.104427,-84.513808
558,Hobart,James,Triumph Electric Co,3,250,C,Cincinnati,OH,39.104427,-84.513808
559,Morris,G,John B. Morris Foundry Co.,2,,McG.,Cincinnati,OH,39.104427,-84.513808
561,Mallinckrodt,Edward,Mallinckrodt Chemical Co,2,600,,St. Louis,MO,38.630276,-90.200309
562,Baldwin,J,American Dyewood Co.,2,,C,New York,NY,40.713054,-74.007228
563,Merritt,Schuyler,Yale & Towne Manufacturing Co.,8,,,New York,NY,40.713054,-74.007228
565,Dodd,William,The National Lock Washer Co.,3,60,C,Newark,NJ,40.731507,-74.174388
566,Bird,J,,9,,P,New York,NY,40.713054,-74.007228
567,McCormick,Harold,International Harvester,2,,F,Chicago,IL,41.883229,-87.632398
569,Rosenfeld,Henry,,2,,L,New York,NY,40.713054,-74.007228
570,Ranney,G,International Harvester,2,,A,Chicago,IL,41.883229,-87.632398
571,Judson,L,General Electric CO.,2,,B,Schenectady,NY,42.814219,-73.944103
573,Geier,Fred,Cincinnati MIlling Machine Co.,3,,A,Cincinnati,OH,39.104427,-84.513808
574,Robinson,W,H.J. Heinz Company,2,,H,Pittsburgh,PA,40.442169,-79.994945
575,Johnson,C,Union Lumber Co.,2,,R,San Francisco,CA,37.78008,-122.420168
576,Broderick,John,Broderick and Bascom Rope Co.,2,200,J,St. Louis,MO,38.630276,-90.200309
577,Gunn,J,,2,,A,Des Moines,IA,41.588822,-93.620309
578,Wrightman,G,,3,,A,Des Moines,IA,41.588822,-93.620309
579,Barker,F,,2,,A,Chicago,IL,41.883229,-87.632398
580,Dutton,Robert,Fidelity and Casualty Co. of New York,2,,L,St. Louis,MO,38.630276,-90.200309
581,Wiehe,C,Edward Hines Lumber Co.,8,,F,Chicago,IL,41.883229,-87.632398
582,Van Houten,E,American Brake Shoe & Foundry Co.,3,,W,New York,NY,40.713054,-74.007228
583,Faber,Henry,Higgin Manufacturing Co.,3,275,A,Newport,KY,39.091662,-84.495641
584,Norris,Samuel,United States Rubber Co.,2,20000,,New York,NY,40.713054,-74.007228
585,Williams,E,Rubber Goods Manufacturing Co.,2,,S,New York,NY,40.713054,-74.007228
586,Daniel,Charles,Quaker City Rubber Co.,2,300,A,Philadelphia,PA,39.951061,-75.16562
587,Parmly,J,Willcox & Gibbs Sewing Machine Co.,4,,,New York,NY,40.713054,-74.007228
588,Jansen,H,,2,,A,Moline,IL,41.492225,-90.489271
589,Banister,R,Woodward Iron Co.,2,5000,H,Woodward,AL,32.756889,-86.844516
590,See,Alonzo,A. B. See Electric Elevator Co.,3,,B,New York,NY,40.713054,-74.007228
591,Yeiser,H,Globe Wernicke Co.,2,,C,Cincinnati,OH,39.104427,-84.513808
592,McCloskey,H,Goodyear Tire and Rubber Co.,2,,H,Akron,OH,41.084821,-81.515607
598,King,Charles,Brown Shoe Co.,2,,P.,St. Louis,MO,38.630276,-90.200309
599,Pike,Edwin,Pike Manufacturing Company,9,250,B,Pike Station,NH,43.70518,-71.75544
600,Gates,P,Eagle Works Manufacturing Company; Allis-Chalmers Co.,2,,W,Chicago,IL,41.883229,-87.632398
601,Cheney,F,Cheney Brothers,2,,W,South Manchester,CT,41.805536,-72.516789
602,Gordon,Fred,Pratt & Whitney Co. Machine Tools,2,,W,Hartford,CT,41.765775,-72.673356
603,Roberts,H,Keystone Watch Case Co.,2,,L,Philadelphia,PA,39.951061,-75.16562
604,Smith,J,"Sprout, Waldron & Co.",2,,Russell,Muncy,PA,41.20237,-76.786061
605,Muzzy,T,J. Stevens Arms & Tool Co.,2,,E,Chicopee Falls,MA,42.152038,-72.575922
606,Spaulding,W,Graton & Knight Mfg Co.,2,,M,Worcester,MA,42.262073,-71.802278
607,Jones Jr.,James,"J. Jones & Son, General Electrical Supplies",2,,,New York,NY,40.713054,-74.007228
608,Hatch,V,Diamond Machine Co.,2,,F,Providence,RI,41.824461,-71.412747
609,,,Gilbert & Bennett Mfg Co.,2,,,Georgetown,CT,41.255766,-73.434803
610,,,"Cluett, Peabody & Co.",2,,,Troy,NY,42.727684,-73.691059
611,Turner,H,E and T Fairbanks and Company,2,,N,St. Johnsbury,VT,44.419289,-72.015541
612,Inglis,James,American Blower Co.,5,,,Detroit,MI,42.332916,-83.047853
613,Levagood,M,Western Automatic Machine Screw Co.,2,,H,Elyria,OH,41.367714,-82.10782
614,,,American Steam Pump Co.,2,,,Battle Creek,MI,42.31918,-85.182454
615,McFerson,Theodore,McFerson & Foster,5,50,R,Evansville,IN,37.975708,-87.569907
616,,,Arthur Kirk & Son,2,,,Pittsburgh,PA,40.442169,-79.994945
617,,,Kelley & Lysle Milling Co.,2,,,Leavenworth,KS,39.32746,-94.918953
618,Pike,E,Pike Manufacturing Co,8,,Bertram,Pike Station,NH,43.70518,-71.75544
619,Manton,Frank,American Ship Windlass Co.,3,175,S,Providence,RI,41.824461,-71.412747
621,Thomas,,Lyon Lumber Co.,2,,,Hughesville,PA,41.240167,-76.731256
622,Meehan,David,The Iron-Clay Brick Co.,2,,C,Columbus,OH,39.962649,-82.996216
623,Stearns,George,Riverside Mills,2,,A,Augusta,GA,33.472494,-81.964397
624,Strait,H,H.N. Strait Manufacturing Co.,2,,N,Kansas City,KS,39.1127,-94.626804
625,Kinney,H,Winona Wagon Co.,2,,M,Winona,MN,44.049877,-91.639366
626,Gettys,R,Knoxville Woolen Mills,2,,P,Knoxville,TN,35.962631,-83.916677
627,Mitchell,C,Chattanooga Plow Co.,2,,D,Chattanooga,TN,35.045756,-85.308287
628,Teal,H,United States Head-Light Co.,2,,S,Buffalo,NY,42.887691,-78.879374
629,Cutler,Otis,American Brake Shoe & Foundry Co.,3,,H,New York,NY,40.713054,-74.007228
631,Wilson,Samuel,Great Western Manufacturing Co.,2,,H,Leavenworth,KS,39.32746,-94.918953
632,Todd,George,Todd-Obenstein Co.,2,,D,New Albany,IN,38.283507,-85.823002
633,Fairbanks,Henry,E & T Fairbanks & Co.,2,,,St. Johnsbury,VT,44.419289,-72.015541
634,Fay,Charles,Fay-Sholes Co.; Arithmograph co,3,35,Norman,Chicago,IL,41.883229,-87.632398
635,Brennan,F,N.K. Fairbank Co.,2,,H,Chicago,IL,41.883229,-87.632398
636,,,D.W. Alderman and Sons Co.,2,,,Alcolu,SC,33.746574,-80.216384
644,Brayton,Edward,Pelton Water Wheel Co.,2,,L,San Francisco,CA,37.78008,-122.420168
645,Smyth,Ellison,Pelzer Manufacturing Co.,2,,A,Pelzer,SC,34.646236,-82.463545
646,Parker,Lewis,Victor Manufacturing Co.,2,,W,Greers,SC,32.59352,-80.126
647,Brittain,John,John S. Brittain Dry Goods Company,2,,S,St. Joseph,MO,39.768194,-94.848164
648,,,"Gladding, McBean, & Co.",2,,,San Francisco,CA,37.78008,-122.420168
