4318	686	0.003
1799	1753	0.087
1736	4546	0.000
4602	867	0.078
1111	1041	0.031
3253	493	0.030
1550	2170	0.030
2858	23	0.092
11	4079	0.096
3698	58	0.014
3906	2161	0.074
862	1844	0.033
2073	325	0.000
967	475	0.080
1563	2223	0.002
5011	7	0.088
1119	3517	0.066
946	3884	0.000
2664	145	0.059
3086	529	0.019
4310	1318	0.090
555	2429	0.015
4222	2867	0.083
1270	285	0.061
2024	785	0.038
1954	3446	0.074
4487	4737	0.095
3214	3163	0.077
3360	1251	0.092
3117	3875	0.065
3606	3847	0.094
2533	969	0.015
280	3354	0.000
4176	1055	0.000
2397	2805	0.086
2749	4258	0.075
969	3754	0.022
785	48	0.010
1959	2184	0.013
571	3383	0.081
142	48	0.012
2646	4340	0.074
4946	1684	0.094
4819	2220	0.069
1597	3828	0.072
1187	4748	0.016
389	251	0.090
2920	1810	0.085
2860	851	0.027
995	3276	0.081
565	1161	0.036
1072	126	0.044
4308	1449	0.024
3129	4883	0.080
640	3151	0.055
1097	113	0.005
1223	3301	0.028
4795	470	0.067
2585	2272	0.052
285	3954	0.061
93	1224	0.077
473	3054	0.055
726	4741	0.024
1111	716	0.045
4345	3727	0.039
4809	4474	0.009
1695	2647	0.019
3795	3174	0.060
2658	3367	0.009
1007	3698	0.014
2098	1584	0.076
4440	490	0.001
3037	1982	0.088
260	1893	0.085
4373	2949	0.078
3777	4425	0.082
4642	2950	0.094
4019	1461	0.039
2263	1136	0.067
2653	208	0.031
100	1778	0.047
2673	3050	0.013
4057	3338	0.015
2276	490	0.002
3357	2797	0.088
4057	1563	0.080
2620	707	0.094
2613	2949	0.078
4855	2680	0.088
2784	1837	0.054
269	3657	0.012
5021	1829	0.075
4938	3307	0.008
2036	3230	0.072
1669	4503	0.065
1489	583	0.100
3578	4821	0.001
4571	85	0.091
1272	1542	0.071
1206	3520	0.064
4347	2199	0.094
1407	1822	0.033
3214	3172	0.003
778	1200	0.027
759	2351	0.069
160	3918	0.073
340	2681	0.006
4455	4601	0.083
2806	3969	0.035
1732	3129	0.029
1024	3174	0.064
2664	2445	0.006
2705	1912	0.094
3306	2674	0.015
3493	4849	0.082
45	3707	0.010
4844	213	0.000
4306	1108	0.065
419	149	0.090
1125	3032	0.058
4707	2261	0.090
4371	3777	0.082
320	1345	0.063
4597	4608	0.082
1683	4035	0.076
4785	521	0.005
278	3138	0.084
4159	1158	0.018
2397	1258	0.100
2510	4695	0.099
4527	4921	0.000
1341	1651	0.053
282	1258	0.005
234	2464	0.096
757	2865	0.089
4974	3744	0.083
1746	3630	0.052
301	1860	0.095
1289	1461	0.007
4112	3695	0.087
4342	2646	0.097
3967	4663	0.023
4241	4326	0.005
4572	1997	0.068
761	4737	0.096
209	50	0.016
4251	3520	0.078
1236	2639	0.064
780	1686	0.091
502	3829	0.000
1113	2620	0.078
737	3662	0.048
4930	4312	0.039
3140	4862	0.001
4839	1804	0.027
356	4962	0.060
579	4573	0.084
1737	2408	0.068
56	4962	0.060
3758	4624	0.072
4628	3004	0.006
3458	4476	0.041
1270	4836	0.013
3975	1549	0.007
4665	283	0.006
2035	4894	0.077
2970	4455	0.057
4300	4805	0.089
1041	2832	0.098
4081	2989	0.062
32	659	0.007
3108	4878	0.053
4817	4816	0.000
1200	2177	0.077
742	3023	0.060
1876	1383	0.099
819	2045	0.079
1559	1687	0.098
3698	3528	0.090
397	1181	0.071
5034	3371	0.003
4593	1893	0.057
1114	4601	0.094
2662	3183	0.006
260	3516	0.072
451	272	0.096
3024	4547	0.002
573	409	0.099
2897	4819	0.050
4456	660	0.032
3407	2917	0.072
2740	387	0.089
2620	4476	0.094
4709	4745	0.084
3140	3037	0.023
1187	1844	0.064
3343	759	0.083
1876	2853	0.067
325	3662	0.048
2653	1809	0.000
3512	580	0.086
676	3684	0.027
4133	4924	0.078
3923	2038	0.063
194	4493	0.081
4555	1959	0.015
3040	3114	0.004
2869	736	0.072
1757	2190	0.062
2890	1013	0.075
128	3114	0.021
4665	211	0.098
3320	2695	0.059
4921	213	0.000
2086	3954	0.038
3795	3300	0.066
1041	5022	0.007
892	2585	0.062
1768	5026	0.052
2407	2939	0.001
2920	3198	0.017
1912	955	0.006
4927	3234	0.002
4527	3458	0.041
2341	4457	0.072
4888	2987	0.016
4075	576	0.072
4382	3291	0.009
3909	4362	0.064
2036	2730	0.099
2235	1451	0.063
1029	1735	0.000
274	4007	0.021
4917	4265	0.015
308	2036	0.077
4718	3379	0.055
4373	1715	0.083
2797	3707	0.096
4591	3168	0.100
2035	3064	0.035
