1226	1667	1
881	2477	1
2660	3084	1
1150	4088	1
2712	4350	1
2712	4356	1
3970	4147	1
1150	4081	1
1150	4080	1
354	1688	1
843	2346	1
2268	4236	1
2161	2226	1
2161	3578	1
2303	3836	3
1573	4392	1
1573	4390	2
2536	4562	1
2712	4682	3
351	3276	1
1773	4049	1
4717	4878	2
502	2712	1
3978	4878	1
4019	4236	1
917	4562	3
3578	4253	1
893	3518	2
3578	4259	1
1645	3984	2
23	2538	2
195	1738	1
2572	2659	2
917	2022	1
2276	4819	1
3822	4515	1
1937	4259	1
1102	4576	2
2005	4301	1
3074	3508	1
3727	4055	1
723	1773	1
1667	1884	1
217	3743	1
2022	2692	1
1573	2572	1
881	1817	2
1817	2055	1
3836	4603	1
893	4562	1
23	4262	2
2572	4719	2
3583	4735	1
162	3560	1
1102	4390	1
22	3200	1
760	4320	1
2005	3074	1
354	4245	1
354	3211	1
1773	4971	1
1773	4973	1
354	4249	1
1573	4836	2
4702	4827	1
3987	4236	1
183	2303	4
4080	4190	1
209	881	1
1645	2098	1
4455	4819	2
973	4735	1
420	1688	1
805	4341	1
2124	3624	1
4682	4843	2
1063	4645	1
723	4496	1
2658	2972	1
1406	1787	1
972	3151	4
162	258	2
611	2712	1
2005	2303	2
3246	4055	1
565	4836	2
967	2456	1
2261	3624	1
1080	4081	1
1080	4080	1
1029	3987	1
11	4259	1
1029	3988	1
1080	4088	1
11	4253	1
2745	3161	1
209	416	2
209	419	1
209	3836	2
209	4827	1
1884	4679	1
3338	3970	1
1150	1406	1
3338	3978	1
389	1513	1
2780	3727	1
169	2276	1
420	723	1
843	4809	1
972	4843	1
999	3559	1
274	3988	1
495	3578	1
274	3987	1
357	2963	1
597	3970	1
967	3323	1
2011	2768	1
1405	2616	1
3398	3618	1
1406	3200	1
1905	4562	1
1317	4777	1
628	3369	1
162	2745	1
162	2746	1
83	2261	1
3975	4819	1
22	611	2
118	4205	1
1015	1150	1
1029	2357	1
161	183	2
739	1406	1
3369	4219	1
3369	4216	1
1255	3851	1
162	4991	1
1150	3851	1
3842	4095	1
2276	2768	1
2101	4397	1
2101	4390	1
2215	2268	2
2215	2261	2
11	449	1
113	3793	1
2702	4496	1
573	4095	1
209	3583	2
2254	3836	1
2702	4147	1
2972	4857	2
3369	3970	1
3369	3975	2
209	3052	1
3369	3977	1
1094	1294	1
2268	3560	1
81	4219	1
502	939	2
11	1619	1
183	4147	2
2098	2572	1
2660	2844	1
1080	4979	1
1787	3124	1
11	3618	1
949	2377	1
2963	4702	1
22	4209	1
1405	4938	1
1397	3246	1
1405	4935	1
22	4205	3
3323	4576	1
939	4705	3
939	4702	2
565	3842	1
1616	2303	3
1080	1959	2
865	2254	2
3977	4356	1
3977	4350	1
4836	4857	2
1397	1792	1
416	2987	1
484	1817	1
1813	4262	3
527	2525	1
1773	3398	1
4245	4400	1
22	967	2
169	502	1
2549	2701	1
2549	2702	2
597	3508	1
3276	3678	1
22	2319	1
4017	4356	1
1397	2538	2
2525	4735	1
4017	4350	2
2456	2538	1
1397	2536	1
1813	3124	1
1397	4562	2
1080	3559	1
3560	3829	1
652	4236	2
4190	4219	1
723	3074	1
1813	2836	2
162	2268	1
603	2261	1
2055	4514	1
2055	4515	1
603	2268	1
162	2261	1
2055	3726	1
2055	3727	1
161	1817	2
161	1813	2
1145	4514	2
527	4205	2
2456	4645	1
2659	4049	1
81	2303	1
4557	4603	1
275	3469	2
586	1573	1
1150	3338	1
3235	4901	1
1752	4272	1
1688	2399	1
1667	3807	1
687	2780	1
161	2549	1
4443	4975	1
4443	4973	1
4443	4971	1
3728	4682	1
939	4262	2
1102	3851	1
4019	4809	1
1102	4809	1
484	4236	1
275	4110	2
449	3147	1
195	4095	1
4320	4836	1
2768	4392	1
2768	4390	1
2346	4975	1
2215	2745	1
2346	4971	1
2215	2746	1
865	881	1
2660	3785	1
1066	3469	3
351	2712	1
893	4814	1
3124	4682	1
3518	4702	1
1967	3161	1
3518	4705	2
1688	2276	1
168	3559	1
1616	1743	1
2660	2780	1
536	3508	1
3398	4100	1
1738	2987	1
258	416	1
2768	4975	1
4901	4935	1
2768	4973	1
258	419	1
2768	4971	1
2159	3560	2
22	1596	1
134	3678	1
2303	4350	2
2303	4356	1
2904	3578	1
354	2346	1
3785	4979	1
2226	3978	1
949	2159	2
1543	2963	1
4350	4857	1
2477	3559	1
3785	4971	1
1813	3829	1
1145	2005	2
4088	4935	1
169	2702	1
484	3398	1
3151	4455	3
3	2377	1
