2098	2892	NAM
3793	4191	NAM
2215	4635	BML
967	3633	BML
3807	4245	BML
527	2591	NAM
4166	939	BML
2055	3704	BML
3151	2254	BML
1959	1635	BML
999	4049	BML
4055	3323	BML
972	2968	BML
1543	4836	BML
2276	2849	BML
1015	3743	BML
2659	2494	NAM
3041	1899	BML
893	4407	BML
2835	4851	NAM
3978	4975	BML
1286	4635	BML
4975	4603	BML
10	3678	NAM
1868	852	BML
2549	603	BML
2047	4727	BML
3139	1405	BML
3560	3491	NAM
3807	3323	BML
1959	23	BML
3041	3431	BML
2345	2023	NAM
4301	3124	BML
258	3987	BML
3265	5007	BML
4728	3829	BML
1317	4496	BML
1688	168	BML
3276	422	BML
449	502	BML
3970	4033	BML
2835	2011	NAM
3124	4514	BML
2198	4101	BML
3963	1405	BML
4826	168	BML
83	4994	BML
1393	3469	BML
1635	1752	BML
4975	3160	BML
2817	999	BML
1206	4049	BML
449	1206	BML
4109	652	NAM
637	2023	NAM
3728	4148	BML
1114	2075	BML
1957	4819	BML
4809	1513	BML
42	210	NAM
4857	3235	BML
2316	1100	CIA
1397	805	NAM
2291	968	BML
560	962	NAM
2616	4975	BML
4891	3743	BML
667	1822	BML
2987	3267	BML
118	2968	BML
3618	628	BML
449	4891	BML
3518	1173	BML
4388	1543	BML
3984	3988	BML
573	4843	BML
3431	3147	BML
443	81	BML
1242	3839	BML
1094	2281	NAM
2477	3518	BML
4009	1884	BML
4560	2494	NAM
2101	4301	BML
1091	3829	BML
209	2281	NAM
449	4209	BML
3398	2904	BML
1645	1405	BML
4259	3578	BML
4901	1884	BML
687	1393	BML
420	1526	BML
4443	1406	BML
4534	2495	NAM
4049	4991	BML
416	1743	BML
3441	4821	NAM
3727	2159	BML
4727	4717	BML
3041	4390	BML
2346	1170	NAM
2836	2495	NAM
967	1294	BML
3727	1817	BML
2456	3469	BML
1738	4407	BML
4259	2538	BML
3074	4603	BML
628	4814	BML
1029	351	BML
573	2198	BML
1701	3235	BML
5052	4735	BML
4055	502	BML
1206	1173	BML
4147	2319	NAM
10	1790	NAM
502	3139	BML
3836	1150	BML
2586	4146	BML
4262	4350	BML
1464	169	BML
4100	851	CIA
3892	1286	BML
1701	967	BML
2226	3970	BML
2800	3980	BML
1937	1857	BML
209	1294	BML
2345	2702	NAM
4505	4994	BML
2538	3129	BML
1817	1640	BML
2800	2055	BML
4303	4392	NAM
1738	2692	BML
3578	1706	BML
3807	2055	BML
258	1937	BML
2055	1543	BML
2477	1066	BML
573	2780	BML
3265	2904	BML
1688	4635	BML
653	2319	NAM
1209	1114	BML
3807	3727	BML
1146	4814	BML
4505	3431	BML
3743	3858	BML
1738	4843	BML
2198	3984	BML
169	4728	BML
3578	3160	BML
3041	1550	BML
4727	4073	BML
2384	1619	BML
209	3398	BML
1405	1619	BML
4556	1706	BML
3459	4971	NAM
4148	3124	BML
1616	83	BML
2572	3963	BML
3129	4635	BML
83	1406	BML
4388	924	BML
3970	1813	BML
2800	4727	BML
1114	4814	BML
3728	851	BML
4891	81	BML
1248	3124	BML
268	2377	NAM
1942	3624	BML
3743	1822	BML
4938	4407	BML
3276	999	BML
4253	4947	NAM
118	1619	BML
449	1526	BML
1795	4558	NAM
3839	4935	BML
2161	4689	BML
2780	1066	BML
4496	4878	BML
3508	2291	BML
258	1146	BML
739	4727	BML
4009	2849	BML
3431	852	BML
573	1029	BML
2477	3147	BML
3151	3727	BML
1905	3161	CIA
2800	1532	BML
2495	3246	NAM
3140	2746	BML
3977	3785	BML
