4303	2836	0.091
2047	502	0.071
4891	1294	0.089
5007	2692	0.087
4009	4727	0.077
308	4095	0.088
2345	134	0.017
2616	4718	0.008
1102	509	0.003
1550	1545	0.000
3129	2979	0.080
1645	4514	0.062
3129	4095	0.094
648	2817	0.024
3151	211	0.074
308	955	0.092
2616	3151	0.085
4901	274	0.016
4190	4191	0.000
3246	4049	0.000
611	1477	0.087
2836	881	0.056
1015	3211	0.078
2658	1937	0.009
3338	603	0.085
183	603	0.066
586	4922	0.022
389	4400	0.085
1768	484	0.077
3970	2979	0.098
4081	967	0.088
4705	1937	0.003
1226	210	0.099
1029	2215	0.000
4303	881	0.058
4777	611	0.051
1942	967	0.095
2215	4814	0.000
4049	2215	0.000
1942	1959	0.073
502	4049	0.000
2817	1477	0.098
1942	603	0.050
1545	3975	0.007
1278	3704	0.010
2226	2161	0.036
3593	2572	0.056
2215	1813	0.000
4259	3678	0.062
3338	967	0.067
308	3129	0.074
2817	1790	0.041
949	3161	0.068
1937	134	0.093
3560	4878	0.063
4935	3829	0.000
1526	1206	0.074
1029	4935	0.000
2692	351	0.014
2660	211	0.082
760	22	0.082
4259	1905	0.002
3246	2215	0.000
3829	1813	0.000
1905	603	0.060
648	1477	0.088
1942	3678	0.035
4682	3977	0.001
1114	1406	0.084
865	3211	0.047
1397	2616	0.070
4055	4935	0.000
1942	4259	0.078
3151	4878	0.063
603	4836	0.020
2215	3829	0.000
4347	4878	0.074
3560	211	0.074
1868	1635	0.072
1790	2963	0.058
183	1959	0.030
1015	865	0.075
972	3977	0.017
3678	603	0.015
2616	211	0.026
3578	4821	0.001
4534	4487	0.082
4347	2987	0.016
4487	3963	0.083
2572	3157	0.027
1397	4718	0.078
4718	211	0.018
4562	4937	0.086
4259	1959	0.008
3829	4814	0.000
502	2215	0.000
1114	4455	0.057
3129	3136	0.000
3970	4891	0.061
2047	4055	0.071
2047	4049	0.071
3560	4718	0.081
10	1884	0.065
1029	4049	0.000
3984	447	0.042
4259	637	0.008
2963	2892	0.065
4347	211	0.098
917	2780	0.080
3508	3211	0.012
973	972	0.000
3508	1015	0.074
3678	1959	0.060
2658	134	0.098
4705	2658	0.006
1905	4836	0.063
3276	3136	0.082
11	1884	0.065
3136	1857	0.085
5007	351	0.097
357	1397	0.029
3246	3829	0.000
443	1397	0.094
2817	2963	0.016
4935	2215	0.000
648	2963	0.041
1645	3074	0.042
4055	4049	0.000
4777	2817	0.023
760	23	0.082
22	4608	0.025
1959	637	0.001
502	3829	0.000
4055	3246	0.000
2047	1813	0.071
1942	183	0.094
3508	865	0.035
183	3678	0.071
134	2661	0.093
3151	4718	0.082
4901	1688	0.063
648	611	0.003
3246	1813	0.000
308	1294	0.025
1905	1959	0.010
419	3469	0.075
1397	211	0.096
3276	760	0.057
3560	2660	0.095
209	2377	0.099
502	4814	0.000
502	3246	0.000
3136	4095	0.094
42	2591	0.063
4777	1790	0.065
573	2377	0.092
11	1870	0.089
4049	3829	0.000
2616	3560	0.085
22	23	0.000
1029	4814	0.000
209	573	0.076
3978	4515	0.032
1790	611	0.014
3678	4836	0.035
1688	274	0.078
4819	2075	0.074
3140	2000	0.028
3276	1857	0.018
1959	603	0.061
1545	1532	0.028
4055	4814	0.000
1550	1532	0.028
1526	2261	0.066
4055	2215	0.000
1905	637	0.010
1294	4095	0.099
502	1029	0.000
3151	3560	0.001
4705	2661	0.006
2345	2794	0.051
1937	2794	0.078
4777	2963	0.007
4055	1813	0.000
3151	2660	0.096
3518	967	0.076
1942	3338	0.071
4878	2660	0.072
1959	4836	0.066
973	4682	0.017
2817	2892	0.081
1206	419	0.077
168	169	0.000
1993	2601	0.095
760	1857	0.039
2047	2215	0.071
4055	3829	0.000
637	4836	0.065
2836	4698	0.068
4562	4400	0.056
2226	2098	0.003
1029	3829	0.000
1029	1813	0.000
3246	4935	0.000
3276	3129	0.082
4055	502	0.000
611	2963	0.044
183	1905	0.020
1768	1173	0.078
357	443	0.092
1942	4836	0.070
2658	2661	0.012
4935	1813	0.000
3678	1905	0.062
1550	3975	0.007
4705	134	0.095
308	3136	0.074
2047	4814	0.071
4055	1029	0.000
4705	2794	0.079
183	4836	0.062
3	917	0.092
4534	3963	0.009
161	162	0.000
2226	2023	0.038
4095	1857	0.069
4407	4973	0.085
3578	4820	0.001
162	4191	0.022
3246	4814	0.000
2047	3246	0.071
3970	1294	0.075
2005	2892	0.056
1114	4515	0.085
4259	183	0.022
161	4191	0.022
2161	2098	0.033
3136	2979	0.080
1937	2661	0.003
2987	4878	0.078
3726	897	0.095
949	1822	0.083
4935	4814	0.000
4608	1857	0.096
3136	1294	0.099
3140	3139	0.000
2098	2023	0.036
3129	1294	0.099
4487	1822	0.031
999	3358	0.024
1029	3246	0.000
2000	3139	0.028
2047	1029	0.071
3678	637	0.059
4049	4814	0.000
2780	4843	0.067
1222	4455	0.088
4758	3323	0.004
2817	611	0.028
955	1294	0.078
4698	881	0.051
4608	23	0.025
4561	3704	0.063
183	637	0.030
3975	1532	0.021
4049	1813	0.000
3963	1822	0.083
10	1870	0.089
1942	1905	0.079
760	4608	0.057
4259	4836	0.064
1942	637	0.072
2794	2661	0.079
4534	1822	0.085
3978	1114	0.098
502	1813	0.000
4682	972	0.017
648	1790	0.017
603	637	0.060
3398	4407	0.063
2773	851	0.027
4487	949	0.085
4049	4935	0.000
1278	4561	0.069
4303	4698	0.027
4081	3518	0.012
3129	1857	0.085
648	4777	0.048
4891	955	0.021
3276	4095	0.051
4216	865	0.069
4347	2660	0.016
4505	2849	0.092
1790	1477	0.085
973	3977	0.017
161	4190	0.022
2047	3829	0.071
3593	3157	0.030
4820	4821	0.000
2047	4935	0.071
2161	2023	0.003
11	10	0.000
81	4216	0.097
502	4935	0.000
2261	835	0.091
162	4190	0.022
3338	4836	0.098
389	4937	0.079
3678	3338	0.078
3970	955	0.040
4019	3727	0.081
4259	603	0.061
3618	3469	0.089
308	3970	0.078
2357	3200	0.007
1813	4814	0.000
2794	134	0.034
357	2616	0.099
4777	2892	0.058
2987	2660	0.031
2658	2794	0.080
