key1	key2	measure	connection type
1937	4719	3	socialclub
1937	4878	3	socialclub
1937	739	4	socialclub
1942	1959	0.073	residence
1942	3338	0.071	residence
1942	3678	0.035	residence
1942	4259	0.078	residence
1942	4836	0.070	residence
1942	603	0.050	residence
1942	637	0.072	residence
1942	967	0.095	residence
195	2005	3	socialclub
195	2254	3	socialclub
195	2303	3	socialclub
195	2659	3	socialclub
195	3469	4	socialclub
195	3518	3	socialclub
195	4205	3	socialclub
195	723	3	socialclub
195	739	4	socialclub
195	881	3	socialclub
195	897	3	socialclub
195	949	4	socialclub
195	972	3	socialclub
1959	2055	3	socialclub
1959	2661	3	socialclub
1959	3052	3	socialclub
1959	3151	3	socialclub
1959	3398	3	socialclub
1959	3678	0.060	residence
1959	3836	3	socialclub
1959	4259	0.008	residence
1959	4390	3	socialclub
1959	4682	3	socialclub
1959	4836	3	social_and_residence
1959	4935	3	socialclub
1959	4971	3	socialclub
1959	603	0.061	residence
1959	637	0.001	residence
1959	723	4	socialclub
1993	2601	0.095	residence
2000	3139	0.028	residence
2000	3140	0.028	residence
2005	2159	3	socialclub
2005	2572	3	socialclub
2005	2661	3	socialclub
2005	275	3	socialclub
2005	2892	0.056	residence
2005	3469	4	socialclub
2005	3518	3	socialclub
2005	3977	3	socialclub
2005	4205	4	socialclub
2005	4682	3	socialclub
2005	4705	3	socialclub
2005	652	3	socialclub
2005	739	3	socialclub
2005	939	3	socialclub
2005	973	3	socialclub
2022	4514	3	socialclub
2022	723	3	socialclub
2023	2098	0.036	residence
2023	2161	0.003	residence
2023	2226	0.038	residence
2047	2215	0.071	residence
2047	3246	0.071	residence
2047	3829	0.071	residence
2047	4049	0.071	residence
2047	4055	0.071	residence
2047	4814	0.071	residence
2047	4935	0.071	residence
2047	502	0.071	residence
2055	2661	3	socialclub
2055	3151	3	socialclub
2055	3398	3	socialclub
2055	4390	3	socialclub
2055	4836	3	socialclub
2055	4935	3	socialclub
2055	4971	3	socialclub
2055	723	3	socialclub
2075	4819	0.074	residence
209	2159	3	socialclub
209	22	4	socialclub
209	2215	3	socialclub
209	2254	3	socialclub
209	2268	3	socialclub
209	23	3	socialclub
209	2303	5	socialclub
209	2377	3	social_and_residence
209	2477	4	socialclub
209	2525	4	socialclub
